	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA	ADX
69	1617771600000.0	57645.61	58317.06	57540.91	58285.99	2754.942848	2021-04-07 05:00:00	58009.99141726698	58181.967599999996	77.02641733232304	3.8876348882716942	73.13878244405134	-171.97618273301487	25.16606876040981
70	1617775200000.0	58286.0	58655.0	57877.74	58059.53	3465.444177	2021-04-07 06:00:00	58034.76070863349	58149.655999999995	71.89767222879891	8.3142523693229	63.58341985947601	-114.89529136650526	23.84873610312731
71	1617778800000.0	58059.53	58093.01	57420.0	57850.57	3165.061413	2021-04-07 07:00:00	57942.66535431675	58109.9376	73.43907740571012	12.55065655177914	60.88842085393098	-167.2722456832489	23.461445450726078
72	1617782400000.0	57850.57	57938.77	57438.79	57749.03	2452.481874	2021-04-07 08:00:00	57845.847677158374	58076.8352	77.3705754340699	16.764974305864495	60.60560112820541	-230.98752284162765	23.102499763247096
73	1617786000000.0	57749.02	57820.01	57000.0	57466.61	4550.286088	2021-04-07 09:00:00	57656.22883857919	58036.004799999995	88.78702089169383	21.445205534744698	67.34181535694913	-379.7759614208044	23.423558334141863
74	1617789600000.0	57466.61	57610.6	56600.0	56787.52	3548.856089	2021-04-07 10:00:00	57221.8744192896	57960.08439999999	118.51129146289895	27.749935950526584	90.76135551237238	-738.209980710395	24.198748310105707
75	1617793200000.0	56787.51	57195.0	55700.0	56320.47	8173.364881	2021-04-07 11:00:00	56771.1722096448	57878.303199999995	157.13104716386442	36.1499537249796	120.98109343888481	-1107.1309903551955	25.717404138895883
76	1617796800000.0	56320.47	56659.12	55612.0	56463.22	5088.776518	2021-04-07 12:00:00	56617.196104822404	57795.1784	184.5277393864526	45.77938970808481	138.7483496783678	-1177.9822951775932	27.191140665340708
77	1617800400000.0	56463.23	56816.72	56335.45	56756.66	3705.192404	2021-04-07 13:00:00	56686.928052411204	57726.56800000001	197.67054528319568	55.63307291887272	142.03747236432295	-1039.639947588803	28.235577638150446
78	1617804000000.0	56753.13	56937.15	56571.44	56660.0	2747.71963	2021-04-07 14:00:00	56673.464026205605	57656.396400000005	210.52779375026876	65.67801943080543	144.84977431946334	-982.9323737943996	28.94554168994435
79	1617807600000.0	56660.0	56870.0	56275.0	56451.45	2486.231524	2021-04-07 15:00:00	56562.4570131028	57596.48360000001	226.4720756831739	76.1020568641612	150.3700188190127	-1034.0265868972056	29.88276857890757
80	1617811200000.0	56451.46	56850.0	56170.51	56587.44	3262.581394	2021-04-07 16:00:00	56574.9485065514	57547.24	234.44111227952817	86.36373482883228	148.0773774506959	-972.2914934485962	30.846885691484026
81	1617814800000.0	56587.44	56659.26	55972.33	56050.54	2938.065503	2021-04-07 17:00:00	56312.7442532757	57466.1612	256.113471730976	97.36170635616772	158.75176537480831	-1153.4169467243046	31.918017130051403
82	1617818400000.0	56054.22	56456.0	55827.7	55859.13	2354.86463	2021-04-07 18:00:00	56085.937126637844	57370.6396	278.7273770008687	109.10905706057736	169.61831994029137	-1284.7024733621583	33.04113127005846
83	1617822000000.0	55859.13	56153.83	55473.0	56153.83	3776.246649	2021-04-07 19:00:00	56119.88356331892	57287.2416	287.17366381306783	120.63964635092525	166.53401746214257	-1167.3580366810784	34.38931540704785
84	1617825600000.0	56153.84	56250.0	55717.15	56249.99	1716.413018	2021-04-07 20:00:00	56184.93678165946	57208.241200000004	289.62950798680686	131.5799854293671	158.04952255743976	-1023.3044183405436	35.38163964133747
85	1617829200000.0	56250.0	56374.25	56071.99	56205.73	1261.306956	2021-04-07 21:00:00	56195.333390829735	57127.99679999999	291.284791758495	141.9169033881473	149.36788837034769	-932.6634091702581	35.95010676646005
86	1617832800000.0	56205.73	56560.29	56108.6	56452.88	1353.731444	2021-04-07 22:00:00	56324.10669541487	57071.6868	283.3521773664106	151.06940998831732	132.2827673780933	-747.5801045851331	35.9539157838295
87	1617836400000.0	56452.89	56570.24	55865.11	55953.45	1373.4712	2021-04-07 23:00:00	56138.77834770743	56994.3352	290.1594774628393	160.0683951842136	130.09108227862566	-855.5568522925678	36.268321676097095
88	1617840000000.0	55953.44	56520.0	55700.0	56429.2	2093.488934	2021-04-08 00:00:00	56283.98917385371	56931.8572	279.6021975987387	167.8006961778325	111.80150142090622	-647.8680261462869	36.76556977389781
89	1617843600000.0	56429.58	56700.0	56242.92	56504.14	1494.435156	2021-04-08 01:00:00	56394.064586926856	56886.45119999999	266.6598993853622	174.19452279594094	92.46537658942128	-492.38661307313305	36.61567290277771
90	1617847200000.0	56504.13	56541.78	56200.3	56497.45	1474.04599	2021-04-08 02:00:00	56445.75729346342	56845.91560000001	254.27371549789677	179.37290345126647	74.9008120466303	-400.15830653658486	36.55287739046477
